iter	QuerySoftMax
0	5.168417748
1	4.904481211
2	4.651342705
3	4.414919852
4	4.191733318
5	3.981549481
6	3.772740801
7	3.587407384
8	3.414498697
9	3.253332121
10	3.099088371
11	2.952148598
12	2.823133538
13	2.695984237
14	2.579831544
15	2.465295148
16	2.367584334
17	2.279659306
18	2.198577256
19	2.121999266
20	2.051818938
21	1.986635351
22	1.928834628
23	1.873865824
24	1.828428066
25	1.782085271
26	1.739573999
27	1.703208207
28	1.667781054
29	1.638649313
30	1.60855045
31	1.582663943
32	1.558781606
33	1.537858238
34	1.518726382
35	1.501518848
36	1.481577324
37	1.46685544
38	1.451029143
39	1.43738351
40	1.425513227
41	1.415983622
42	1.404797397
43	1.394039848
44	1.384900516
45	1.376590854
46	1.368336397
47	1.360649348
48	1.353598512
49	1.346676647
50	1.339976321
51	1.334329524
52	1.328457508
53	1.324183787
54	1.319531154
55	1.315203108
56	1.310066354
57	1.305791273
58	1.299893815
59	1.295936201
60	1.290893055
61	1.286911758
62	1.283943668
63	1.280726356
64	1.276714897
65	1.272946979
66	1.269691984
67	1.266173206
68	1.263232798
69	1.261024211
70	1.258694895
71	1.257393825
72	1.254080585
73	1.249835986
74	1.24751971
75	1.244338642
76	1.24312966
77	1.241547126
78	1.239534956
79	1.237138353
80	1.234042652
81	1.232151612
82	1.230817739
83	1.228599392
84	1.225405762
85	1.222693933
86	1.22182266
87	1.220770731
88	1.218938656
89	1.21626259
90	1.215230263
91	1.212684528
92	1.211147998
93	1.209538662
94	1.207754591
95	1.20631999
96	1.204849386
97	1.203691928
98	1.200659192
99	1.199500534
100	1.197374354
101	1.194867022
102	1.193481145
103	1.192725561
104	1.192157193
105	1.191323603
106	1.189105896
107	1.18738447
108	1.184736327
109	1.182605026
110	1.181246672
111	1.179980565
112	1.177737095
113	1.176764533
114	1.175082391
115	1.173932374
116	1.172877165
117	1.170776507
118	1.169601848
119	1.169206135
120	1.168196049
121	1.166618956
122	1.164920172
123	1.164354125
124	1.162335954
125	1.161602692
126	1.16133539
127	1.159929751
128	1.159098801
129	1.158524192
130	1.156907976
131	1.156110468
132	1.15565691
133	1.154404084
134	1.153325673
135	1.152419276
136	1.150607763
137	1.149289252
138	1.148218922
139	1.146565742
140	1.145252351
141	1.144306431
142	1.142650211
143	1.140607879
144	1.140111117
145	1.139197839
146	1.138899414
147	1.137810362
148	1.137106063
149	1.136216868
150	1.134783467
151	1.134413035
152	1.132774257
153	1.132178126
154	1.130581672
155	1.130014984
156	1.128588863
157	1.12724731
158	1.126759669
159	1.125440357
160	1.124542841
161	1.123953272
162	1.122597317
163	1.12204047
164	1.121385695
165	1.120576906
166	1.119240313
167	1.117690182
168	1.116907396
169	1.116206297
170	1.114681928
171	1.11387314
172	1.112658637
173	1.111905134
174	1.110936332
175	1.110240833
176	1.108937523
177	1.108026406
178	1.107252501
179	1.105837581
180	1.104814775
181	1.10428377
182	1.103878056
183	1.103362012
184	1.103148554
185	1.102079344
186	1.101334081
187	1.100779634
188	1.100301833
189	1.099360074
190	1.098713619
191	1.097591845
192	1.097020836
193	1.096433267
194	1.096099879
195	1.0954099
196	1.094726002
197	1.093437094
198	1.091958489
199	1.091454286
200	1.090453962
201	1.09008577
202	1.089301384
203	1.088602845
204	1.088237614
205	1.087336498
206	1.08641386
207	1.085214959
208	1.084556263
209	1.083676989
210	1.083104621
211	1.082414162
212	1.081214941
213	1.080279182
214	1.079874748
215	1.07918925
216	1.078117159
217	1.077605676
218	1.077035148
219	1.076323328
220	1.07576008
221	1.075505339
222	1.075025698
223	1.07468823
224	1.074129942
225	1.073309873
226	1.072386355
227	1.071907675
228	1.07090783
229	1.069882304
230	1.069037912
231	1.068698524
232	1.067907577
233	1.067616992
234	1.066498498
235	1.065925329
236	1.065599702
237	1.065234231
238	1.064819076
239	1.0643948
240	1.063434239
241	1.062207735
242	1.061583763
243	1.060924907
244	1.059865777
245	1.059609356
246	1.059041788
247	1.058498942
248	1.057949056
249	1.05764303
250	1.057090503
251	1.056273874
252	1.05562918
253	1.055316673
254	1.054901038
255	1.053464597
256	1.052942553
257	1.0520796
258	1.051563636
259	1.050333052
260	1.04995486
261	1.049784286
262	1.049031502
263	1.048351125
264	1.047973973
265	1.047458489
266	1.047001571
267	1.046420082
268	1.046222625
269	1.045627775
270	1.0452179
271	1.044551044
272	1.044210775
273	1.04379586
274	1.042916426
275	1.042206446
276	1.041837454
277	1.041251485
278	1.040279243
279	1.03954166
280	1.039392368
281	1.038669107
282	1.037987129
283	1.037448924
284	1.036232661
285	1.035701576
286	1.035427873
287	1.035125687
288	1.034643487
289	1.034315699
290	1.033658603
291	1.033060313
292	1.032898059
293	1.032612515
294	1.031778045
295	1.0312464
296	1.030222633
297	1.029380962
298	1.028844117
299	1.028468565
300	1.027633855
301	1.027355911
302	1.026659052
303	1.025965874
304	1.025200369
305	1.024603118
306	1.024000188
307	1.023187719
308	1.02260919
309	1.02201962
310	1.021299879
311	1.020512613
312	1.020095138
313	1.019389558
314	1.018926559
315	1.018306106
316	1.017628609
317	1.017004877
318	1.016490353
319	1.015774213
320	1.015329295
321	1.014434579
322	1.014168877
323	1.013531463
324	1.01301974
325	1.01255306
326	1.011941089
327	1.011547055
328	1.011274312
329	1.010720746
330	1.010043248
331	1.009594891
332	1.009051565
333	1.00863953
334	1.007972514
335	1.007534797
336	1.00698923
337	1.006603038
338	1.00626837
339	1.005580231
340	1.005028185
341	1.00449774
342	1.003731275
343	1.003226353
344	1.002792236
345	1.002095937
346	1.001691343
347	1.00142188
348	1.000622853
349	0.9999422351
350	0.9998006232
351	0.9993208226
352	0.9988211804
353	0.9986173232
354	0.9978528586
355	0.9974804271
356	0.9968786963
357	0.9964979441
358	0.9962015991
359	0.9959119746
360	0.9950786242
361	0.9945971436
362	0.9943871258
363	0.9938608414
364	0.9933789607
365	0.9926472988
366	0.9923049499
367	0.9919290782
368	0.9916713764
369	0.9912546212
370	0.9910208414
371	0.9905933653
372	0.9900509195
373	0.9896341643
374	0.9890523551
375	0.9889401857
376	0.9887343283
377	0.9881091555
378	0.9876649579
379	0.9872433223
380	0.9865401429
381	0.9860536218
382	0.9856482276
383	0.9850632981
384	0.9848868832
385	0.9841203385
386	0.983759428
387	0.9835434097
388	0.9832377039
389	0.9824436368
390	0.9821812947
391	0.9815982054
392	0.9811856906
393	0.980847502
394	0.9801735251
395	0.9799463859
396	0.9797595701
397	0.9790662315
398	0.978598512
399	0.9780117424
